"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Date entered ""Closed lost ([Archived] Premium Service)""","hs_v2_date_entered_145861464","datetime","The date and time when the deal entered the 'Closed lost' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.01%","",""
"Date entered ""Outreach Pending ([Archived] Sunbeam Upgrades)""","hs_v2_date_entered_175821091","datetime","The date and time when the deal entered the 'Outreach Pending' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.52%","",""
"Date entered ""Initial Comms Sent ([Archived] Sunbeam Upgrades)""","hs_v2_date_entered_175882633","datetime","The date and time when the deal entered the 'Initial Comms Sent' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.11%","",""
"Date entered ""First Subgraph Upgraded ([Archived] Sunbeam Upgrades)""","hs_v2_date_entered_175882635","datetime","The date and time when the deal entered the 'First Subgraph Upgraded' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.12%","",""
"Date entered ""Majority Subgraphs Upgraded ([Archived] Sunbeam Upgrades)""","hs_v2_date_entered_175882636","datetime","The date and time when the deal entered the 'Majority Subgraphs Upgraded' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.42%","",""
"Date entered ""Majority Traffic Upgraded ([Archived] Sunbeam Upgrades)""","hs_v2_date_entered_175882637","datetime","The date and time when the deal entered the 'Majority Traffic Upgraded' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.19%","",""
"Date entered ""Closed Upgrade Complete ([Archived] Sunbeam Upgrades)""","hs_v2_date_entered_175882638","datetime","The date and time when the deal entered the 'Closed Upgrade Complete' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.02%","",""
"Date entered ""Closed Account Lost ([Archived] Sunbeam Upgrades)""","hs_v2_date_entered_175897379","datetime","The date and time when the deal entered the 'Closed Account Lost' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.02%","",""
"Date entered ""Not Prioritizing ([Archived] Sunbeam Upgrades)""","hs_v2_date_entered_176125761","datetime","The date and time when the deal entered the 'Not Prioritizing' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.28%","",""
"Date entered ""No Known Contact ([Archived] Sunbeam Upgrades)""","hs_v2_date_entered_176228872","datetime","The date and time when the deal entered the 'No Known Contact' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.06%","",""
"Date entered ""Verbal Commitment Received ([Archived] Sunbeam Upgrades)""","hs_v2_date_entered_177113452","datetime","The date and time when the deal entered the 'Verbal Commitment Received' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.05%","",""
"Date entered ""Integrating (SE) (Chain Integration)""","hs_v2_date_entered_213652827","datetime","The date and time when the deal entered the 'Integrating (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.06%","",""
"Date entered ""PRs pending merge/release (SE) (Chain Integration)""","hs_v2_date_entered_214299818","datetime","The date and time when the deal entered the 'PRs pending merge/release (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.05%","",""
"Date entered ""Testing (SE) (Chain Integration)""","hs_v2_date_entered_214299819","datetime","The date and time when the deal entered the 'Testing (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.05%","",""
"Date entered ""Studio Integration Done (SE) (Chain Integration)""","hs_v2_date_entered_214299820","datetime","The date and time when the deal entered the 'Studio Integration Done (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.08%","",""
"Date entered ""Comarketing (Marketing) (Chain Integration)""","hs_v2_date_entered_214299821","datetime","The date and time when the deal entered the 'Comarketing (Marketing)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.07%","",""
"Date entered ""Chain Docs In Progress (SE) (Chain Integration)""","hs_v2_date_entered_214299822","datetime","The date and time when the deal entered the 'Chain Docs In Progress (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.04%","",""
"Date entered ""Indexing Rewards Inquiry (Foundation) (Chain Integration)""","hs_v2_date_entered_214299823","datetime","The date and time when the deal entered the 'Indexing Rewards Inquiry (Foundation)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.04%","",""
"Date entered ""Indexing Rewards Enabled (SE) (Chain Integration)""","hs_v2_date_entered_214299824","datetime","The date and time when the deal entered the 'Indexing Rewards Enabled (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.04%","",""
"Date entered ""Completed (BD) (Chain Integration)""","hs_v2_date_entered_214299825","datetime","The date and time when the deal entered the 'Completed (BD)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.04%","",""
